no,step,x,y,path_id,name,ysqrt4,eps,b
6.0,0.0,0.02656,367.46562,34211.0,to_at,4.3782865131961515,200.0,150.0
6.0,1.0,0.0265595984175562,331.20381605103944,34211.0,to_at,4.266029290607281,200.0,150.0
6.0,2.0,0.027619967643050407,430.52811172041083,34211.0,to_at,4.555125832533153,200.0,150.0
6.0,3.0,0.025475428701729485,380.8514076733863,34211.0,to_at,4.417625450057893,200.0,150.0
6.0,4.0,0.025498970013299743,492.6412761123889,34211.0,to_at,4.711212559999079,200.0,150.0
6.0,5.0,0.022740140416823162,516.8135949004778,34211.0,to_at,4.76796965057527,200.0,150.0
6.0,6.0,0.020741333741553673,557.5539934250237,34211.0,to_at,4.859277853025555,200.0,150.0
6.0,7.0,0.018943352634870153,454.96914871502315,34211.0,to_at,4.618441926685722,200.0,150.0
6.0,8.0,0.019871801035563876,420.07384693125573,34211.0,to_at,4.527218034662187,200.0,150.0
6.0,9.0,0.021117632798806223,354.138550589889,34211.0,to_at,4.3380374943535776,200.0,150.0
6.0,10.0,0.023388448572393573,340.21221901793916,34211.0,to_at,4.294745931133659,200.0,150.0
6.0,11.0,0.025241116282590105,385.64544140478415,34211.0,to_at,4.431462213840334,200.0,150.0
6.0,12.0,0.02522338018585892,372.80982905188944,34211.0,to_at,4.394119246096308,200.0,150.0
6.0,13.0,0.025556599730607556,458.1078541886979,34211.0,to_at,4.626386738950429,200.0,150.0
6.0,14.0,0.02357983467530218,473.0949490855865,34211.0,to_at,4.663769499364111,200.0,150.0
6.0,15.0,0.022118764533893817,425.37905833372105,34211.0,to_at,4.541444659363678,200.0,150.0
6.0,16.0,0.02234228701309537,327.57901370101604,34211.0,to_at,4.254308875087567,200.0,150.0
6.0,17.0,0.02487552398417473,381.4343054992125,34211.0,to_at,4.419314788485801,200.0,150.0
6.0,18.0,0.025105393493192383,336.75652874192065,34211.0,to_at,4.283798220067297,200.0,150.0
6.0,19.0,0.026481688779959527,389.1380972710648,34211.0,to_at,4.441461867161916,200.0,150.0
6.0,20.0,0.025904318907719267,351.04733671086484,34211.0,to_at,4.3285398549577145,200.0,150.0
6.0,21.0,0.02660256522373415,250.86685201850412,34211.0,to_at,3.97979608111999,200.0,150.0
6.0,22.0,0.03021969064346692,210.78852170776534,34211.0,to_at,3.810322537322467,200.0,150.0
