no,step,x,y,path_id,name,ysqrt4,eps,b
0.0,0.0,0.0193,487.84856,729194.0,to_at,4.699712127892693,200.0,10.0
0.0,1.0,0.019301503600203152,497.82821320293084,729194.0,to_at,4.723564787023905,200.0,10.0
0.0,2.0,0.019120064300051608,506.3325138868738,729194.0,to_at,4.743609761270431,200.0,10.0
0.0,3.0,0.018870574116353105,423.97181103215655,729194.0,to_at,4.537683966733285,200.0,10.0
0.0,4.0,0.020281601634295123,428.59103974716214,729194.0,to_at,4.549993453813481,200.0,10.0
0.0,5.0,0.02101744444760817,446.2251731120233,729194.0,to_at,4.596089918307364,200.0,10.0
0.0,6.0,0.021076289156706077,380.02854249631673,729194.0,to_at,4.415237340784127,200.0,10.0
0.0,7.0,0.02256514428429552,393.6500266018671,729194.0,to_at,4.454280590647038,200.0,10.0
0.0,8.0,0.02316779821487133,303.0034885264408,729194.0,to_at,4.1721691469240065,200.0,10.0
0.0,9.0,0.025900835645437263,330.39681809679996,729194.0,to_at,4.263428303820634,200.0,10.0
0.0,10.0,0.026977310047179175,356.3533994001422,729194.0,to_at,4.344804369183551,200.0,10.0
0.0,11.0,0.02692835435598424,380.5710028849409,729194.0,to_at,4.416812097750993,200.0,10.0
0.0,12.0,0.026208307277514106,402.8409194237766,729194.0,to_at,4.4800555046592585,200.0,10.0
0.0,13.0,0.025160478240623757,423.04572868843,729194.0,to_at,4.535204016757968,200.0,10.0
0.0,14.0,0.024016137096475005,396.9889002902371,729194.0,to_at,4.463695812215734,200.0,10.0
0.0,15.0,0.023975438144232284,393.4763243311799,729194.0,to_at,4.453789134618272,200.0,10.0
0.0,16.0,0.024038050662083074,414.6591719679856,729194.0,to_at,4.512558229449495,200.0,10.0
0.0,17.0,0.02355484880566461,331.1518969669523,729194.0,to_at,4.2658620964627705,200.0,10.0
0.0,18.0,0.025390223973217326,294.4509123111172,729194.0,to_at,4.142411378858994,200.0,10.0
0.0,19.0,0.027698564016932152,265.55281011958874,729194.0,to_at,4.036804575165853,200.0,10.0
0.0,20.0,0.03027781577229438,199.95681659478578,729194.0,to_at,3.7604000820890566,200.0,10.0
0.0,21.0,0.034674066603581834,228.1210004444952,729194.0,to_at,3.8863446918904887,200.0,10.0
0.0,22.0,0.03693756522133941,153.31211949760592,729194.0,to_at,3.5187962617656896,200.0,10.0
0.0,23.0,0.04226623473129043,130.55909695658664,729194.0,to_at,3.3802730613882206,200.0,10.0
0.0,24.0,0.04809572705332707,64.98431650728344,729194.0,to_at,2.839240222434855,200.0,10.0
0.0,25.0,0.0574323964557774,14.455636367733703,729194.0,to_at,1.9498863710840904,200.0,10.0
